"Click <a href=""%1"" target=""_blank"">here</a> to add the Standard Box Sizes module. (<a href=""%1"" target=""_blank"">Learn more</a>)","Click <a href=""""%1"""" target=""""_blank"""">here</a> to add the Standard Box Sizes module. (<a href=""""%1"""" target=""""_blank"""">Learn more</a>)"
Drop ships,Drop ships
Worldwide Express LTL Freight Quotes,Worldwide Express LTL Freight Quotes
"Warning! If you delete this location, Drop ship location settings will be disable against products.","Warning! If you delete this location, Drop ship location settings will be disable against products."
Cancel,Cancel
OK,OK
Locations that inventory specific items that are drop shipped to the destination. Use the product's settings page to identify it as a drop shipped item and its associated drop ship location. Orders that include drop shipped items will display a single figure for the shipping rate estimate that is equal to the sum of the cheapest option of each shipment required to fulfill the order.,Locations that inventory specific items that are drop shipped to the destination. Use the product's settings page to identify it as a drop shipped item and its associated drop ship location. Orders that include drop shipped items will display a single figure for the shipping rate estimate that is equal to the sum of the cheapest option of each shipment required to fulfill the order.
Success! New drop ship added successfully.,Success! New drop ship added successfully.
Success! Drop ship updated successfully.,Success! Drop ship updated successfully.
Success! Drop ship deleted successfully.,Success! Drop ship deleted successfully.
Nickname,Nickname
City,City
State,State
Zip,Zip
Country,Country
Action,Action
Drop ship,Drop ship
Error!,Error!
Drop ship already exists.,Drop ship already exists.
Please select US or CA address.,Please select US or CA address.
Add,Add
Edit,Edit
Delete,Delete
"Click <a href=""%1"" target=""_blank"">here</a> to add the Auto detect residential addresses module.(<a href=""%1"" target=""_blank"">Learn more</a>)","Click <a href=""""%1"""" target=""""_blank"""">here</a> to add the Auto detect residential addresses module.(<a href=""""%1"""" target=""""_blank"""">Learn more</a>)"
Success!,Success!
The test resulted in a successful connection.,The test resulted in a successful connection.
Error!,Error!
The credentials entered did not result in a successful test. Confirm your credentials and try again.,The credentials entered did not result in a successful test. Confirm your credentials and try again.
The User Guide for this application is maintained on the publisher's website. To view it click <a href='%1' target='_blank'>here</a> or paste the following link into your browser.,The User Guide for this application is maintained on the publisher's website. To view it click <a href='%1' target='_blank'>here</a> or paste the following link into your browser.
Warehouses,Warehouses
Warehouses that inventory all products not otherwise identified as drop shipped items. The warehouse with the lowest shipping cost to the destination is used for quoting purposes.,Warehouses that inventory all products not otherwise identified as drop shipped items. The warehouse with the lowest shipping cost to the destination is used for quoting purposes.
Success! New warehouse added successfully.,Success! New warehouse added successfully.
Success! Warehouse updated successfully.,Success! Warehouse updated successfully.
Success! Warehouse deleted successfully.,Success! Warehouse deleted successfully.
Warehouse,Warehouse
Warehouse already exists.,Warehouse already exists.
Add Drop Ship,Add Drop Ship
Add Warehouse,Add Warehouse
A Duie PYLE,A Duie PYLE
AAA Cooper Transportation,AAA Cooper Transportation
"ABF Freight System, Inc","ABF Freight System, Inc"
AMA Transportation Company Inc,AMA Transportation Company Inc
APEX XPRESS,APEX XPRESS
Atlas Motor Express,Atlas Motor Express
"Averitt Express, Inc","Averitt Express, Inc"
Becker Trucking Inc,Becker Trucking Inc
"Beaver Express Service, LLC","Beaver Express Service, LLC"
Best Overnite Express,Best Overnite Express
Central Arizona Freight Lines,Central Arizona Freight Lines
"Central Freight Lines, Inc","Central Freight Lines, Inc"
Clear Lane Freight Systems,Clear Lane Freight Systems
XPO Logistics,XPO Logistics
Cape Cod Express,Cape Cod Express
Central Transport,Central Transport
Cal State Express,Cal State Express
Dayton Freight,Dayton Freight
Dedicated Delivery Professionals,Dedicated Delivery Professionals
Dohrn Transfer Company,Dohrn Transfer Company
Dependable Highway Express,Dependable Highway Express
DATS Trucking Inc,DATS Trucking Inc
Dugan Truck Lines,Dugan Truck Lines
Daylight Transport,Daylight Transport
Estes Express Lines,Estes Express Lines
Frontline Freight Inc,Frontline Freight Inc
Flo Trans,Flo Trans
Fort Transportation,Fort Transportation
"Forward Air, Inc","Forward Air, Inc"
Gold Coast Freightways,Gold Coast Freightways
Holland,Holland
Land Air Express Of New England,Land Air Express Of New England
Lakeville Motor Express Inc,Lakeville Motor Express Inc
Midwest Motor Express,Midwest Motor Express
Nebraska Transport,Nebraska Transport
New England Motor Freight,New England Motor Freight
North Park Transportation Co,North Park Transportation Co
New Penn Motor Express,New Penn Motor Express
N&M Transfer Co, Inc.,N&M Transfer Co, Inc.
Oak Harbor Freight Lines,Oak Harbor Freight Lines
Old Dominion,Old Dominion
"Pitt Ohio Express, LLC","Pitt Ohio Express, LLC"
"Pace Motor Lines, Inc","Pace Motor Lines, Inc"
ProTrans International,ProTrans International
Roadrunner Transportation Services,Roadrunner Transportation Services
RJW Transport,RJW Transport
R & L Carriers Inc,R & L Carriers Inc
Roseville Motor Express,Roseville Motor Express
Ross Express,Ross Express
SAIA,SAIA
Southeastern Freight Lines,Southeastern Freight Lines
Shift Freight,Shift Freight
Southwestern Motor Transport,Southwestern Motor Transport
Standard Forwarding Company Inc,Standard Forwarding Company Inc
SuperVan Service Co. Inc,SuperVan Service Co. Inc
TForce Freight,TForce Freight
USF Reddaway,USF Reddaway
Ward Trucking,Ward Trucking
West Bend Transit,West Bend Transit
Wilson Trucking Corporation',Wilson Trucking Corporation'
YRC,YRC
